StageNumber,KillMonsterCount,BossDataID,BossBattleTimeLimit,MonsterDataIdList,MonsterAtk,MonsterMaxHp,MonsterGoldReward,MonsterExpReward,BossMonsterAtk,BossMonsterMaxHp,RewardItem
81,50,60001000,50,50001000,534,17382,900,900,1602,112983,Gold:100&Dia:102
82,50,60001000,50,50001000,544,18078,945,945,1632,117507,Gold:100&Dia:103
83,50,60001000,50,50001000,554,18802,993,993,1662,122213,Gold:100&Dia:104
84,50,60001000,50,50001000,564,19555,1043,1043,1692,127108,Gold:100&Dia:105
85,50,60001000,50,50001000,575,20338,1096,1096,1725,132197,Gold:100&Dia:106
86,50,60001000,50,50001000,586,21152,1151,1151,1758,137488,Gold:100&Dia:107
87,50,60001000,50,50001000,597,21999,1209,1209,1791,142994,Gold:100&Dia:108
88,50,60001000,50,50001000,608,22879,1270,1270,1824,148714,Gold:100&Dia:109
89,50,60001000,50,50001000,619,23795,1334,1334,1857,154668,Gold:100&Dia:110
90,50,60001000,50,50001000,631,24747,1401,1401,1893,160856,Gold:100&Dia:111
91,50,60001000,50,50001000,643,25737,1472,1472,1929,167291,Gold:100&Dia:112
92,50,60001000,50,50001000,655,26767,1546,1546,1965,173986,Gold:100&Dia:100
93,50,60001000,50,50001000,667,27838,1624,1624,2001,180947,Gold:100&Dia:101
94,50,60001000,50,50001000,680,28952,1706,1706,2040,188188,Gold:100&Dia:102
95,50,60001000,50,50001000,693,30111,1792,1792,2079,195722,Gold:100&Dia:103
96,50,60001000,50,50001000,706,31316,1882,1882,2118,203554,Gold:100&Dia:104
97,50,60001000,50,50001000,719,32569,1977,1977,2157,211699,Gold:100&Dia:105
98,50,60001000,50,50001000,732,33872,2076,2076,2196,220168,Gold:100&Dia:106
99,50,60001000,50,50001000,746,35227,2180,2180,2238,228976,Gold:100&Dia:107
